provincia;poblacion;direccion;numero;bis;codigo_postal;prima_total;anio_antiguedad;numero_proyecto
BARCELONA;BARCELONA; SERRANO ;3;;8031;1.223,24 €;1971;68574
BARCELONA;BARCELONA; SERRANO ;52;;8031;1.938,03 €;1972;68576
BARCELONA;BARCELONA; SERRANO ;48;;8031;1.698,73 €;1972;68577
BARCELONA;BARCELONA; SERRANO ;2;;8031;3.945,33 €;1974;68578
BARCELONA;BARCELONA; SERRANO ;44;;8031;2.160,86 €;1972;68579
BARCELONA;BARCELONA; TRAVAU ;63;;8031;1.431,79 €;1960;68580
BARCELONA;BARCELONA; TRAVAU ;48;;8031;953,58 €;1955;68581
BARCELONA;BARCELONA; TRAVAU ;65;;8031;1.669,81 €;1960;68582
BARCELONA;BARCELONA; TRAVAU ;51;;8031;1.090,67 €;1959;68583
BARCELONA;BARCELONA; TRAVAU ;73;;8031;1.427,68 €;1960;68584
BARCELONA;BARCELONA; TRAVAU ;57;;8031;1.649,56 €;1960;68585
BARCELONA;BARCELONA; VALL D'ORDESA ;7;;8031;1.470,86 €;1959;68586
BARCELONA;BARCELONA; VALL D'ORDESA ;3;;8031;1.371,97 €;1959;68588
BARCELONA;BARCELONA; VALL D'ORDESA ;17;;8031;1.363,53 €;1959;68589
BARCELONA;BARCELONA; VENECIA ;49;;8031;2.789,90 €;1971;68590
BARCELONA;BARCELONA; VENECIA ;20;;8031;649,12 €;1985;68591
BARCELONA;BARCELONA; VENT ;40;;8031;1.147,05 €;1968;68592
BARCELONA;BARCELONA; VENT ;46;;8031;2.499,79 €;1974;68593
BARCELONA;BARCELONA; VENT ;42;;8031;1.143,67 €;1968;68594
BARCELONA;BARCELONA; VILAPICINA ;14;;8031;3.710,89 €;1989;68595
BARCELONA;BARCELONA; VILAPICINA ;43;;8031;1.197,67 €;1975;68596
BARCELONA;BARCELONA; VILAPICINA ;38;;8031;2.545,59 €;1965;68597
BARCELONA;BARCELONA; VILAPICINA ;20;;8031;3.710,89 €;1989;68598
